combined_text,Label
"-0.1709752373421826 -0.012704887930512982 Week day lunch,At a party,Late night snack -0.9085355436349646 Cloudy With A Chance Of Meatballs soda Friends A little (mild)",0
"0.8084090490360328 -1.381500354804819 Week day lunch,At a party,Late night snack -0.9085355436349646 Unknown soda Friends,Teachers,Strangers Unknown",0
"-0.1709752373421826 -0.3549037546490895 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner -0.19009332075475224 Action Movie soda Friends A moderate amount (medium)",0
"0.8084090490360328 -0.012704887930512982 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack -1.1959124327870494 Mamma Mia other Siblings,Friends,Teachers I will have some of this food item with my hot sauce",0
"-1.150359523720398 -1.0393014880862426 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party -0.9085355436349646 Cloudy With A Chance Of Meatballs other Siblings,Friends A little (mild)",0
"0.8084090490360328 -0.012704887930512982 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 0.52834890212546 Unknown other Siblings,Friends Unknown",0
-0.1709752373421826 -1.0393014880862426 Week day lunch -1.4832893219391343 Dragon soda Friends Unknown,0
"0.8084090490360328 -0.697102621367666 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 1.2467911250056725 Rick And Morty soda Friends A moderate amount (medium)",0
"-0.1709752373421826 -0.3549037546490895 Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack -1.1959124327870494 Home Alone soda Unknown Unknown",0
"-0.1709752373421826 1.0138917122252167 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack -1.052223988211007 Cloudy With A Chance Of Meatballs soda Parents,Siblings,Friends A lot (hot)",0
"-0.1709752373421826 1.3560905789437931 Weekend dinner,At a party 1.2467911250056725 Unknown soda Friends Unknown",0
"-1.150359523720398 -0.012704887930512982 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 0.09728356839733268 The Big Lebowski tea Parents,Friends A little (mild)",0
"-0.1709752373421826 -0.697102621367666 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack -0.7648470990589221 Spider-Man other Parents,Siblings,Friends Unknown",0
"0.8084090490360328 -0.697102621367666 Weekend lunch,Weekend dinner,At a party 2.683675570766097 Cloudy With A Chance Of Meatballs soda Friends Unknown",0
"-0.1709752373421826 0.6716928455066401 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack -0.19009332075475224 Goodfellas alcohol Siblings,Friends A moderate amount (medium)",0
