combined_text,Label
"3 6 Week day lunch,At a party,Late night snack 5 Cloudy with a Chance of Meatballs Coke  Friends A little (mild)",Pizza
"4 bread, meet Week day lunch,At a party,Late night snack 5$ for a large piece All sort of american young boy movies Coke Friends,Teachers,Strangers nan",Pizza
"3 5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner 10dollar action movie cola Friends A moderate amount (medium)",Pizza
"4 6-7 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $3  Mamma Mia Soda Siblings,Friends,Teachers I will have some of this food item with my hot sauce",Pizza
"2 3 or more Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party $5  Cloudy with a chance of meatballs Soda Siblings,Friends A little (mild)",Pizza
"4 6 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $15  nan Soda Siblings,Friends nan",Pizza
3 about 3 or 4 Week day lunch 1 dragon coke  Friends nan,Pizza
"4 4-5 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 20 dollar Rick and Morty coke Friends A moderate amount (medium)",Pizza
"3 5 Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 3 dollars Home Alone Coca Cola nan nan",Pizza
"3 9 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 4 Cloudy with a chance of meatballs Coke Parents,Siblings,Friends A lot (hot)",Pizza
"3 10 Weekend dinner,At a party 20 none regular coke Friends nan",Pizza
"2 6 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 12 Canadian Dollars The Big Lebowski Ice Tea Parents,Friends A little (mild)",Pizza
"3 4 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $6  Spider Man 2 lemonade Parents,Siblings,Friends nan",Pizza
"4 I think at least 4 ingredients, such as flour, tomato, cheese, and oil. Weekend lunch,Weekend dinner,At a party At most 30 CAD Cloudy with a Chance of Meatballs  Coke Friends nan",Pizza
"3 8 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack $10  Goodfellas Red Wine Siblings,Friends A moderate amount (medium)",Pizza
"3 5: Cheese, sauce, dough, meet, vegetables Weekend lunch,Weekend dinner,At a party,Late night snack One serving being two slices, I would expect to pay around $7 A Goofy Movie (the disney movie) Pop like Coke  Friends A little (mild)",Pizza
"2 7 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party 5 Dead Silence Sprite Friends,Strangers A moderate amount (medium)",Pizza
"3 6 Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack 12 la la land water Parents,Siblings,Friends,Strangers A little (mild)",Pizza
