id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Label
716549,3,6.0,"Week day lunch,At a party,Late night snack",5.0,Cloudy with a Chance of Meatballs,Coke ,Friends,1.0,Pizza
606874,4,6.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,Mamma Mia,Soda,"Siblings,Friends,Teachers",4.0,Pizza
505318,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,Cloudy with a chance of meatballs,Soda,"Siblings,Friends",1.0,Pizza
605771,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,,Soda,"Siblings,Friends",-1.0,Pizza
606929,3,3.0,Week day lunch,1.0,dragon,coke ,Friends,-1.0,Pizza
626792,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Cloudy with a chance of meatballs,Coke,"Parents,Siblings,Friends",3.0,Pizza
714863,3,10.0,"Weekend dinner,At a party",20.0,none,regular coke,Friends,-1.0,Pizza
602526,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,Spider Man 2,lemonade,"Parents,Siblings,Friends",-1.0,Pizza
389328,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,Goodfellas,Red Wine,"Siblings,Friends",2.0,Pizza
620148,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,Dead Silence,Sprite,"Friends,Strangers",2.0,Pizza
387155,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,la la land,water,"Parents,Siblings,Friends,Strangers",1.0,Pizza
614043,5,10.0,"Week day dinner,Weekend dinner,At a party,Late night snack",15.0,Ninja turtles ,Coke,"Siblings,Friends",-1.0,Pizza
521125,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,High School Musical 3,Root beer,"Parents,Siblings,Friends,Teachers",1.0,Pizza
627780,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8.0,Despicable Me,Coke,"Friends,Teachers",-1.0,Pizza
492744,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,Teenage Mutant Ninja Turtles,Soda,"Parents,Friends",1.0,Pizza
601609,4,10.0,"Weekend dinner,At a party",6.0,Spiderman,Diet Coke,Friends,-1.0,Pizza
