id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Label
716549,moderate,few,"Week day lunch,At a party,Late night snack",very cheap,"Animation,Comedy",soda,Friends,A little (mild),Pizza
715742,complex,very few,"Week day lunch,At a party,Late night snack",very cheap,no_movie,soda,"Friends,Teachers,Strangers",,Pizza
727333,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",cheap,Action,soda,Friends,A moderate amount (medium),Pizza
606874,complex,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Musical,Comedy",other,"Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza
505318,simple,very few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",very cheap,"Animation,Comedy",other,"Siblings,Friends",A little (mild),Pizza
605771,complex,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,no_movie,other,"Siblings,Friends",,Pizza
606929,moderate,very few,Week day lunch,very cheap,Animation,soda,Friends,,Pizza
609789,complex,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",expensive,"Animation,Comedy",soda,Friends,A moderate amount (medium),Pizza
644623,moderate,few,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Comedy,Family",soda,,,Pizza
626792,moderate,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Animation,Comedy",soda,"Parents,Siblings,Friends",A lot (hot),Pizza
714863,moderate,moderate,"Weekend dinner,At a party",expensive,no_movie,soda,Friends,,Pizza
602805,simple,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,"Comedy,Crime",tea,"Parents,Friends",A little (mild),Pizza
602526,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,"Superhero,Action",other,"Parents,Siblings,Friends",,Pizza
497421,complex,few,"Weekend lunch,Weekend dinner,At a party",very expensive,"Animation,Comedy",soda,Friends,,Pizza
389328,moderate,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,"Crime,Drama",alcohol,"Siblings,Friends",A moderate amount (medium),Pizza
289931,moderate,few,"Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,no_movie,soda,Friends,A little (mild),Pizza
620148,simple,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",very cheap,"Horror,Thriller",soda,"Friends,Strangers",A moderate amount (medium),Pizza
387155,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,"Musical,Drama,Romance",water,"Parents,Siblings,Friends,Strangers",A little (mild),Pizza
516975,simple,very many,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Fantasy,Adventure",soda,Friends,,Pizza
630825,moderate,few,"Week day dinner,At a party",cheap,"Action,Sci-Fi",soup,Parents,,Pizza
614043,very complex,moderate,"Week day dinner,Weekend dinner,At a party,Late night snack",moderate,"Animation,Action",soda,"Siblings,Friends",,Pizza
521125,complex,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Musical,Comedy,Family",alcohol,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
627780,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,"Animation,Comedy",soda,"Friends,Teachers",,Pizza
492744,moderate,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,"Animation,Action",other,"Parents,Friends",A little (mild),Pizza
618747,simple,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,"Animation,Adventure",other,Friends,,Pizza
607815,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",very expensive,"Crime,Drama",soda,"Friends,Teachers",A little (mild),Pizza
601609,complex,moderate,"Weekend dinner,At a party",cheap,"Superhero,Action",soda,Friends,,Pizza
602657,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,other,soda,"Friends,Teachers",,Pizza
616449,complex,very few,"Week day lunch,Week day dinner,Weekend dinner,At a party",very cheap,"Animation,Action",water,"Parents,Friends",A little (mild),Pizza
501893,complex,few,"Weekend lunch,Weekend dinner,At a party",expensive,"Action,Thriller",soda,"Siblings,Friends",,Pizza
507448,moderate,few,"Weekend dinner,At a party,Late night snack",expensive,"Animation,Action",soda,Friends,A little (mild),Pizza
606556,very simple,very few,At a party,cheap,"Animation,Comedy",soda,Teachers,A little (mild),Pizza
724326,moderate,many,"Week day lunch,Weekend lunch,At a party",very cheap,"Superhero,Action","soda,tea",Friends,,Pizza
616945,complex,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,"Animation,Comedy",soda,Teachers,A moderate amount (medium),Pizza
630962,complex,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",cheap,Horror,soda,"Friends,Teachers",,Pizza
715814,simple,few,"Week day lunch,Week day dinner,At a party",moderate,no_movie,soda,"Parents,Friends,Teachers",A little (mild),Pizza
502799,simple,moderate,"Weekend dinner,At a party",cheap,"Sci-Fi,Adventure",tea,"Parents,Siblings,Friends",,Pizza
605278,simple,few,"Weekend dinner,At a party,Late night snack",very cheap,"Crime,Drama",soda,"Friends,Teachers,Strangers",A little (mild),Pizza
388888,moderate,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Comedy,Drama,Romance",soda,Friends,A little (mild),Pizza
519548,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,"Superhero,Action",soda,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
405521,complex,very few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Animation,Comedy,Sci-Fi",soda,Friends,A moderate amount (medium),Pizza
607410,moderate,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,"Superhero,Action",soda,"Siblings,Teachers",,Pizza
715795,complex,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",moderate,"Adventure,Drama",soda,"Parents,Friends,Teachers",,Pizza
625326,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",very cheap,"Superhero,Action",other,"Siblings,Friends,Teachers",A little (mild),Pizza
627220,moderate,few,"Week day lunch,Weekend dinner,At a party,Late night snack",cheap,"Animation,Comedy",soda,Friends,A little (mild),Pizza
634964,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",expensive,"Superhero,Action",alcohol,"Parents,Friends",,Pizza
722500,moderate,moderate,"Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,"Comedy,Family",soda,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
602824,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,no_movie,other,"Parents,Siblings,Friends",,Pizza
618355,simple,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,"Action,Adventure,Drama",soda,"Friends,Teachers,Strangers",,Pizza
611097,moderate,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,"Comedy,Family",soda,"Siblings,Friends",A little (mild),Pizza
634328,simple,few,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Animation,Action",other,"Parents,Siblings,Friends",,Pizza
607160,simple,moderate,At a party,cheap,"Animation,Comedy",soda,Teachers,A little (mild),Pizza
728522,moderate,few,"Week day dinner,Weekend dinner,At a party,Late night snack",moderate,other,soda,"Siblings,Friends,Teachers",A lot (hot),Pizza
718570,moderate,few,"Week day lunch,Week day dinner,At a party",moderate,no_movie,soda,"Friends,Strangers",,Pizza
714598,complex,few,"Week day dinner,At a party,Late night snack",very cheap,"Animation,Comedy",soda,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
601950,moderate,few,"Week day lunch,At a party,Late night snack",very cheap,other,soda,Friends,,Pizza
612478,simple,very few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,other,soda,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
501416,complex,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,no_movie,other,"Teachers,Strangers",A little (mild),Pizza
629710,moderate,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",moderate,"Action,Comedy",soda,"Parents,Siblings,Friends",A little (mild),Pizza
502610,simple,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very expensive,"Animation,Comedy",soda,"Parents,Siblings,Friends",,Pizza
603476,complex,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,"Drama,Music",soda,"Parents,Siblings,Friends",,Pizza
600957,simple,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,"Comedy,Family",water,Siblings,,Pizza
713423,very complex,many,"Week day dinner,Weekend dinner,At a party",moderate,"Animation,Drama",soda,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
722431,simple,few,"Week day lunch,Week day dinner,Weekend lunch,At a party",expensive,"Animation,Action",juice,Friends,,Pizza
633234,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Superhero,Action",soda,"Siblings,Friends,Teachers",,Pizza
148179,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",cheap,no_movie,soda,Friends,A little (mild),Pizza
715845,simple,moderate,"Weekend dinner,At a party,Late night snack",expensive,"Animation,Comedy",soda,Friends,,Pizza
632153,moderate,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,"Animation,Comedy",water,Friends,,Pizza
606552,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,Comedy,soda,"Parents,Siblings,Friends",A little (mild),Pizza
738409,moderate,few,At a party,very cheap,"Sci-Fi,Horror,Drama",soda,"Teachers,Strangers",,Pizza
612096,complex,few,"Weekend dinner,At a party",very cheap,"Animation,Comedy",soda,"Parents,Friends,Teachers",A lot (hot),Pizza
743537,moderate,few,"Week day lunch,Week day dinner,At a party,Late night snack",moderate,other,soda,"Friends,Strangers",,Pizza
632896,moderate,moderate,"Weekend lunch,At a party,Late night snack",very cheap,"Comedy,Family",soda,"Siblings,Friends,Strangers",A little (mild),Pizza
605207,moderate,very few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",moderate,"Animation,Action",soda,Friends,,Pizza
617542,complex,few,"Week day dinner,Weekend dinner,At a party,Late night snack",expensive,"Animation,Action",soda,Friends,A little (mild),Pizza
719554,moderate,very few,"Week day lunch,Late night snack",very cheap,no_movie,juice,"Friends,Strangers",,Pizza
627427,complex,few,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",very cheap,"Family,Comedy",other,"Friends,Strangers",A little (mild),Pizza
411315,complex,moderate,"Week day lunch,At a party,Late night snack",cheap,"Action,Comedy",soda,"Friends,Strangers",A little (mild),Pizza
631507,complex,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",very cheap,"Horror,Thriller",other,Friends,I will have some of this food item with my hot sauce,Pizza
627798,moderate,moderate,"Week day lunch,Weekend lunch,At a party,Late night snack",cheap,"Animation,Adventure",soda,Friends,A little (mild),Pizza
712093,complex,moderate,"Week day lunch,Weekend lunch,At a party,Late night snack",moderate,"Superhero,Action",soda,"Teachers,Strangers",A little (mild),Pizza
627488,very simple,moderate,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",very cheap,"Animation,Comedy",other,"Friends,Teachers",A little (mild),Pizza
626493,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,"Comedy,Crime",water,"Parents,Siblings,Friends,Teachers",,Pizza
601363,simple,moderate,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,other,other,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza
712898,complex,moderate,"Weekend dinner,At a party,Late night snack",very cheap,other,soda,Parents,,Pizza
603398,moderate,moderate,"Weekend dinner,At a party,Late night snack",expensive,"Drama,Romance",soda,Friends,A moderate amount (medium),Pizza
631012,complex,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Animation,Comedy",soda,"Parents,Siblings,Friends",,Pizza
601848,moderate,few,"Week day lunch,Weekend dinner,At a party,Late night snack",cheap,"Animation,Comedy",soda,"Parents,Siblings,Friends,Teachers",,Pizza
612131,simple,few,"Week day dinner,Weekend dinner,At a party,Late night snack",very cheap,"Comedy,Family",soda,"Parents,Siblings,Teachers",A little (mild),Pizza
408630,moderate,few,"Week day lunch,Weekend lunch,At a party,Late night snack",very cheap,Horror,other,"Siblings,Friends,Teachers",A little (mild),Pizza
632091,simple,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,no_movie,other,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
601122,moderate,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,"Comedy,Family",soda,"Parents,Siblings,Friends,Strangers",,Pizza
602871,simple,few,"Week day lunch,At a party",cheap,"Superhero,Action",soda,Friends,A little (mild),Pizza
520828,moderate,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Animation,Action",soda,"Siblings,Friends",A moderate amount (medium),Pizza
514199,moderate,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",very cheap,no_movie,tea,Friends,,Pizza
389697,complex,few,"Week day dinner,Weekend dinner,At a party,Late night snack",cheap,other,soda,"Friends,Teachers",A little (mild),Pizza
714430,moderate,moderate,"Week day lunch,Weekend lunch",cheap,"Superhero,Action",juice,Friends,A little (mild),Pizza
612567,complex,few,"Week day dinner,Weekend lunch,Weekend dinner,At a party",expensive,"Sci-Fi,Adventure",soda,"Siblings,Friends",A moderate amount (medium),Pizza
744468,moderate,very few,"Week day lunch,At a party",very cheap,"Superhero,Action",soda,Friends,,Pizza
502722,moderate,few,"Weekend lunch,At a party",very cheap,"Animation,Action",soda,"Siblings,Friends",I will have some of this food item with my hot sauce,Pizza
519681,moderate,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Superhero,Action",soda,Friends,,Pizza
631125,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",cheap,"Comedy,Family",soda,"Parents,Siblings",,Pizza
606119,simple,few,"Week day lunch,Weekend lunch,At a party,Late night snack",very cheap,"Crime,Thriller",soda,Friends,,Pizza
627252,moderate,moderate,"Week day dinner,Weekend dinner,At a party",cheap,"Animation,Action",water,"Siblings,Friends",,Pizza
616568,moderate,very few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",expensive,"Action,Thriller",other,"Parents,Siblings,Friends",A little (mild),Pizza
603838,simple,few,"Weekend lunch,Weekend dinner",cheap,"Animation,Action",other,Friends,A moderate amount (medium),Pizza
719735,complex,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Superhero,Action",soda,Friends,A little (mild),Pizza
608062,simple,moderate,"Weekend dinner,At a party",very cheap,"Superhero,Action",soda,"Friends,Teachers",,Pizza
608704,moderate,very few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",expensive,"Comedy,Family",soda,"Parents,Siblings,Friends,Teachers",,Pizza
520383,simple,very few,"Week day lunch,Weekend dinner,At a party",very cheap,no_movie,soda,"Friends,Teachers",A little (mild),Pizza
603793,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",moderate,"Comedy,Family",other,"Friends,Strangers",A moderate amount (medium),Pizza
603933,moderate,few,At a party,very cheap,"Drama,Sci-Fi",soda,Friends,,Pizza
605519,moderate,few,"Week day dinner,Weekend dinner,At a party,Late night snack",very cheap,no_movie,soda,"Friends,Teachers",A moderate amount (medium),Pizza
524803,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Crime,Drama",other,"Friends,Teachers",,Pizza
629712,moderate,few,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",expensive,"Sci-Fi,Adventure,Drama",soda,Friends,A little (mild),Pizza
627505,moderate,moderate,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",very cheap,"Action,Comedy",soda,"Parents,Siblings",,Pizza
526131,moderate,few,"Week day lunch,Weekend lunch,At a party,Late night snack",cheap,"Animation,Comedy",soda,"Friends,Teachers",,Pizza
